127.0.0.1 - - [06/Feb/2018:10:51:47 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:39 +0900] "GET /JSPBoard/MainPage/viewfreeboard.do?bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6 HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:40 +0900] "GET /JSPBoard/MainPage/viewmenu.do?bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6&bdId=50 HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:42 +0900] "POST /JSPBoard/MainPage/menudelete.do?bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6&bdId=50 HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:44 +0900] "GET /JSPBoard/MainPage/board_view.do?bdId=50&bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6 HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:44 +0900] "GET /JSPBoard/MainPage/welcome.do?bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6 HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:31:47 +0900] "GET /JSPBoard/MainPage/deletecheck.do?bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6&bdId=50 HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:42:59 +0900] "POST /JSPBoard/MainPage/main.do HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:43:04 +0900] "POST /JSPBoard/MainPage/makeboard.do HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:43:06 +0900] "POST /JSPBoard/MainPage/makeboard.go HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:43:07 +0900] "GET /JSPBoard/MainPage/main.do HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:43:17 +0900] "GET /JSPBoard/MainPage/board_view.do?bdId=51&bdTitle=%C5%D7%BD%BA%C6%AE%20%B0%D4%BD%C3%C6%C7 HTTP/1.1" 200 2555
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:43:17 +0900] "GET /JSPBoard/MainPage/welcome.do?bdTitle=%C5%D7%BD%BA%C6%AE%20%B0%D4%BD%C3%C6%C7 HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [06/Feb/2018:13:44:11 +0900] "POST /JSPBoard/MainPage/main.do HTTP/1.1" 200 4032
0:0:0:0:0:0:0:1 - - [06/Feb/2018:14:03:43 +0900] "GET /JSPBoard/MainPage/board_view.do?bdId=52&bdTitle=%A4%A4%A4%B7%A4%B0%A4%A4 HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [06/Feb/2018:14:03:43 +0900] "GET /JSPBoard/MainPage/welcome.do?bdTitle=%A4%A4%A4%B7%A4%B0%A4%A4 HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [06/Feb/2018:14:03:44 +0900] "GET /JSPBoard/MainPage/deletecheck.do?bdTitle=%A4%A4%A4%B7%A4%B0%A4%A4&bdId=52 HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [06/Feb/2018:14:03:45 +0900] "GET /JSPBoard/MainPage/deleteboard.do?bdTitle=%A4%A4%A4%B7%A4%B0%A4%A4&bdId=52 HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [06/Feb/2018:14:03:47 +0900] "POST /JSPBoard/MainPage/makeboard.do HTTP/1.1" 200 1018
0:0:0:0:0:0:0:1 - - [06/Feb/2018:14:05:44 +0900] "GET /JSPBoard/MainPage/board_view.do?bdId=50&bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6 HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [06/Feb/2018:14:05:44 +0900] "GET /JSPBoard/MainPage/welcome.do?bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6 HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [06/Feb/2018:14:07:54 +0900] "GET /JSPBoard/MainPage/board_view.do?bdId=50&bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6 HTTP/1.1" 200 2743
0:0:0:0:0:0:0:1 - - [06/Feb/2018:14:07:55 +0900] "GET /JSPBoard/MainPage/welcome.do?bdTitle=%B1%D7%B6%FB%BA%ED%B7%E7%20%C6%C7%C5%B8%C1%F6 HTTP/1.1" 200 1802
